步骤 	 符号栈 	 产生式 
1 	 (0,#) 	 
2 	 (0,#)(3,float) 	 
3 	 (0,#)(7,Specifier) 	 Specifier->float 
4 	 (0,#)(7,Specifier)(9,<ID>) 	 
5 	 (0,#)(7,Specifier)(9,<ID>)(11,;) 	 
6 	 (0,#)(6,ExtDef) 	 ExtDef->Specifier <ID> ; 
7 	 (0,#)(6,ExtDef)(2,int) 	 
8 	 (0,#)(6,ExtDef)(7,Specifier) 	 Specifier->int 
9 	 (0,#)(6,ExtDef)(7,Specifier)(9,<ID>) 	 
10 	 (0,#)(6,ExtDef)(7,Specifier)(9,<ID>)(11,;) 	 
11 	 (0,#)(6,ExtDef)(6,ExtDef) 	 ExtDef->Specifier <ID> ; 
12 	 (0,#)(6,ExtDef)(6,ExtDef)(2,int) 	 
13 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier) 	 Specifier->int 
14 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>) 	 
15 	 (0,#)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>)(11,;) 	 
16 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef) 	 ExtDef->Specifier <ID> ; 
17 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(2,int) 	 
18 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier) 	 Specifier->int 
19 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>) 	 
20 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>)(12,CreateFunTable_m) 	 CreateFunTable_m->@ 
21 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>)(12,CreateFunTable_m)(15,() 	 
22 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>)(12,CreateFunTable_m)(15,()(3,float) 	 
23 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>)(12,CreateFunTable_m)(15,()(18,Specifier) 	 Specifier->float 
24 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>)(12,CreateFunTable_m)(15,()(18,Specifier)(24,<ID>) 	 
25 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>)(12,CreateFunTable_m)(15,()(20,ParamDec) 	 ParamDec->Specifier <ID> 
26 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>)(12,CreateFunTable_m)(15,()(20,ParamDec)(26,,) 	 
27 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>)(12,CreateFunTable_m)(15,()(20,ParamDec)(26,,)(2,int) 	 
28 	 (0,#)(6,ExtDef)(6,ExtDef)(6,ExtDef)(7,Specifier)(9,<ID>)(12,CreateFunTable_m)(15,()(20,ParamDec)(26,,)(18,Specifier) 	 Specifier->int 
